"DECL","PERIOD","PRCCODE","PRCCODE_LABEL","INDICATORS","Value","Flag and Footnotes"
"Netherlands","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","53,132,000",""
"Germany","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","183,676,921",""
"Italy","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","353,512,000",""
"United Kingdom","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","27,354,699",""
"Ireland","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL",":",""
"Denmark","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","54,080,740",""
"Greece","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","10,272,674",""
"Portugal","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","7,988,696",""
"Spain","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","104,405,668",""
"Belgium","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL",":",""
"Luxemburg","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","0",""
"Iceland","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL",":",""
"Norway","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","2,153,532",""
"Sweden","Jan.-Dec. 2008","31001190","Non-upholstered seats with metal frames (excluding medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, swivel seats)","PRODVAL","24,509,111",""
